#,Peptide,Score,Prediction results,Hemolysis Conc (ug/ml),Hemolysis 
1,"car_1",0.14645344,No,50.0,No
2,"car_2",0.13621768,No,50.0,No
3,"car_3",0.14582315,No,50.0,No
4,"car_4",0.017541677,No,50.0,No
5,"car_5",0.017886758,No,50.0,No
6,"car_6",0.18883395,No,50.0,No
7,"car_7",0.04690686,No,50.0,No
8,"car_8",0.32003027,No,50.0,No
9,"car_9",0.030024767,No,50.0,No
10,"car_10",0.1820071,No,50.0,No
11,"car_11",0.4320529,No,50.0,No
12,"car_12",0.13585263,No,50.0,No
13,"car_13_1_49",0.9540392,Yes,50.0,Yes
14,"car_13_26_74",0.59374297,Yes,50.0,No
15,"car_13_51_75",0.045835257,No,50.0,No
16,"car_14",0.2533512,No,50.0,No
17,"car_15",0.039715976,No,50.0,No
18,"car_16",0.029119581,No,50.0,No
19,"car_17",0.0035575628,No,50.0,No
20,"car_18",0.024903357,No,50.0,No
21,"car_19",0.66358083,Yes,50.0,No
22,"car_20",0.082283586,No,50.0,No
23,"car_21",0.02928865,No,50.0,No
24,"car_22",0.8355347,Yes,50.0,No
25,"car_23",0.019875854,No,50.0,No
26,"car_24",0.00932616,No,50.0,No
27,"car_25",0.04250717,No,50.0,No
28,"car_26",0.0011990666,No,50.0,No
29,"car_27",0.07718751,No,50.0,No
30,"car_28",0.007814795,No,50.0,Yes
31,"car_29",0.050168753,No,50.0,No
32,"car_30",0.028559417,No,50.0,No
33,"car_31",0.087280124,No,50.0,No
34,"car_32",0.06768152,No,50.0,No
35,"car_33",0.00031778216,No,50.0,No
36,"car_34",0.04459864,No,50.0,No
37,"car_35",0.06390855,No,50.0,No
38,"car_36",0.24129072,No,50.0,No
39,"car_37",0.008397341,No,50.0,No
40,"car_38",0.04379496,No,50.0,No
41,"car_39",0.7891078,Yes,50.0,Yes
42,"car_40",0.011779547,No,50.0,No
43,"car_41",0.02824846,No,50.0,No
44,"car_42",0.11990282,No,50.0,No
45,"car_43",0.21431097,No,50.0,No
46,"car_44",0.13258305,No,50.0,No
47,"car_45",0.65305555,Yes,50.0,No
48,"car_46",0.037983775,No,50.0,No
49,"car_47",0.77252555,Yes,50.0,No
50,"car_48",0.40797722,No,50.0,No
51,"car_49",0.44168276,No,50.0,Yes
52,"car_50",0.037792176,No,50.0,No
53,"car_51",0.029430628,No,50.0,No
54,"car_52",0.4488297,No,50.0,No
55,"car_53",0.7966448,Yes,50.0,No
56,"car_54",0.024589568,No,50.0,No
57,"car_55",0.35160983,No,50.0,No
58,"car_56",0.07386139,No,50.0,No
59,"car_57",0.16066149,No,50.0,No
60,"car_58",0.049054503,No,50.0,No
61,"car_59",0.056541234,No,50.0,No
62,"car_60",0.0072443485,No,50.0,No
63,"car_61",0.018235654,No,50.0,No
64,"car_62",0.71763945,Yes,50.0,No
65,"car_63",0.060811788,No,50.0,No
66,"car_64",0.86546224,Yes,50.0,Yes
67,"car_65",0.14055124,No,50.0,No
68,"car_66",0.35480052,No,50.0,No
69,"car_67",0.05217412,No,50.0,No
70,"car_68",0.00048321486,No,50.0,No
71,"car_69",0.047646254,No,50.0,No
72,"car_70",0.49141768,No,50.0,Yes
73,"car_71",0.30363226,No,50.0,No
74,"car_72",0.13043705,No,50.0,No
75,"car_73",0.55112714,Yes,50.0,No
76,"car_74",0.040045887,No,50.0,No
77,"car_75",0.7371274,Yes,50.0,No
78,"car_76",0.020831347,No,50.0,No
79,"car_77",0.059930414,No,50.0,No
80,"car_78",0.07754037,No,50.0,No
81,"car_79",0.045041054,No,50.0,No
82,"car_80",0.024079293,No,50.0,No
83,"car_81",0.1840826,No,50.0,No
84,"car_82",0.06211844,No,50.0,Yes
85,"car_83",0.051437885,No,50.0,No
86,"car_84",0.14501053,No,50.0,No
87,"car_85",0.028125107,No,50.0,No
88,"car_86",0.24150506,No,50.0,No
89,"car_87",0.16097656,No,50.0,No
90,"car_88",0.07823622,No,50.0,No
91,"car_89",0.83779705,Yes,50.0,Yes
92,"car_90",0.6463541,Yes,50.0,No
93,"car_91",0.017738491,No,50.0,No
94,"car_92",0.39003816,No,50.0,No
95,"car_93",0.04334706,No,50.0,No
96,"car_94",0.02803132,No,50.0,No
97,"car_95",0.5457325,Yes,50.0,No
98,"car_96",0.029613346,No,50.0,No
99,"car_97",0.06110829,No,50.0,No
100,"car_98",0.343375,No,50.0,No
101,"car_99_1_49",0.00015452504,No,50.0,No
102,"car_99_26_74",0.0006939173,No,50.0,No
103,"car_99_51_80",0.0023294091,No,50.0,Yes
104,"car_99_76_80",0.028451562,No,50.0,No
105,"car_100",0.0009582937,No,50.0,No
106,"car_101",0.23156855,No,50.0,No
107,"car_102",0.37645218,No,50.0,No
108,"car_103",0.06357625,No,50.0,No
109,"car_104",0.040890336,No,50.0,No
110,"car_105",0.34989634,No,50.0,No
111,"car_106",0.025704384,No,50.0,No
112,"car_107",0.11292997,No,50.0,No
113,"car_108",0.19783416,No,50.0,No
114,"car_109",0.23448303,No,50.0,No
115,"car_110",0.018838972,No,50.0,No
116,"car_111",0.4232832,No,50.0,No
117,"car_112",0.21611646,No,50.0,No
118,"car_113",0.47237435,No,50.0,No
119,"car_114",0.22011879,No,50.0,Yes
120,"car_115",0.75570846,Yes,50.0,No
121,"car_116",0.256221,No,50.0,No
122,"car_117",0.116854995,No,50.0,No
123,"car_118",0.043257415,No,50.0,No
124,"car_119",0.08275211,No,50.0,No
125,"car_120",0.04002282,No,50.0,No
126,"car_121",0.26174933,No,50.0,No
127,"car_122",0.0017675757,No,50.0,No
128,"car_123",0.43575698,No,50.0,No
129,"car_124",0.1641239,No,50.0,No
130,"car_125",0.1910801,No,50.0,No
131,"car_126",0.0055495203,No,50.0,No
132,"car_127",0.017964274,No,50.0,No
133,"car_128",0.041439384,No,50.0,No
134,"car_129",0.031475484,No,50.0,No
135,"car_130",0.2580592,No,50.0,No
136,"car_131",0.017315328,No,50.0,No
137,"car_132",0.010582358,No,50.0,Yes
138,"car_133",0.09953168,No,50.0,No
139,"car_134",0.6925843,Yes,50.0,Yes
140,"car_135",0.040964603,No,50.0,No
141,"car_136",0.4723472,No,50.0,No
142,"car_137",0.036331862,No,50.0,No
143,"car_138",0.0048302114,No,50.0,No
144,"car_139",0.08253288,No,50.0,No
145,"car_140",0.014947683,No,50.0,No
146,"car_141",0.16929975,No,50.0,No
147,"car_142",0.02320823,No,50.0,No
148,"car_143",0.053699046,No,50.0,No
149,"car_144",0.024643451,No,50.0,No
150,"car_145",0.33351684,No,50.0,No
151,"car_146",0.0011010766,No,50.0,No
152,"car_147",0.07473034,No,50.0,No
153,"car_148",0.06375891,No,50.0,No
154,"car_149",0.040979534,No,50.0,No
155,"car_150",0.1474759,No,50.0,No
156,"car_151",0.0039053857,No,50.0,No
157,"car_152",0.17159092,No,50.0,No
158,"car_153",0.18259963,No,50.0,No
159,"car_154",0.3946126,No,50.0,No
160,"car_155",0.075894,No,50.0,No
161,"car_156",0.022933424,No,50.0,No
162,"car_157",0.13022614,No,50.0,No
163,"car_158",0.12284285,No,50.0,No
164,"car_159",0.12761524,No,50.0,No
165,"car_160",0.017119318,No,50.0,No
166,"car_161",0.03989616,No,50.0,No
167,"car_162",0.0024421215,No,50.0,No
168,"car_163",0.038413763,No,50.0,No
169,"car_164",0.120762974,No,50.0,No
170,"car_165",0.049817204,No,50.0,No
171,"car_166",0.8957168,Yes,50.0,Yes
172,"car_167",0.43161654,No,50.0,No
173,"car_168",0.014450282,No,50.0,No
174,"car_169",0.0754838,No,50.0,No
175,"car_170",0.11482698,No,50.0,Yes
176,"car_171",0.04446286,No,50.0,No
177,"car_172",0.15194091,No,50.0,No
178,"car_173",0.048579484,No,50.0,No
179,"car_174",6.968778e-05,No,50.0,No
180,"car_175",0.04634267,No,50.0,No
181,"car_176",0.01460126,No,50.0,No
182,"car_177",0.017185539,No,50.0,No
183,"car_178",0.028584689,No,50.0,No
184,"car_179",0.036486328,No,50.0,No
185,"car_180",0.59034973,Yes,50.0,No
186,"car_181",0.606408,Yes,50.0,No
187,"car_182",0.03538096,No,50.0,No
188,"car_183",0.113040894,No,50.0,No
189,"car_184",0.030355364,No,50.0,No
190,"car_185",0.2854774,No,50.0,No
191,"car_186",0.17908734,No,50.0,No
192,"car_187",0.036573917,No,50.0,No
193,"car_188",0.07685727,No,50.0,No
194,"car_189",0.019897163,No,50.0,No
195,"car_190",0.0010699928,No,50.0,No
196,"car_191",0.035081565,No,50.0,No
197,"car_192",0.042596757,No,50.0,No
198,"car_193",0.01927659,No,50.0,No
199,"car_194",0.47857633,No,50.0,No
200,"car_195",0.0059767365,No,50.0,No
201,"car_196",0.011707097,No,50.0,No
202,"car_197",0.030887306,No,50.0,No
203,"car_198",0.071790665,No,50.0,No
204,"car_199",0.052153498,No,50.0,No
205,"car_200",0.060330987,No,50.0,No
206,"car_201",0.029644132,No,50.0,No
207,"car_202",0.15525118,No,50.0,No
208,"car_203",0.021441638,No,50.0,No
209,"car_204",0.11983007,No,50.0,No
210,"car_205",0.039738923,No,50.0,No
211,"car_206",0.5104752,Yes,50.0,No
212,"car_207",0.064205915,No,50.0,No
213,"car_208",0.00012132677,No,50.0,Yes
214,"car_209",0.15973467,No,50.0,No
215,"car_210",0.6434325,Yes,50.0,No
216,"car_211",0.26969403,No,50.0,No
217,"car_212",0.018621206,No,50.0,No
218,"car_213",0.3688321,No,50.0,No
219,"car_214",0.00057575107,No,50.0,No
220,"car_215",0.08106467,No,50.0,No
221,"car_216",0.7803244,Yes,50.0,No
222,"car_217",0.3360185,No,50.0,No
223,"car_218",0.033108443,No,50.0,No
224,"car_219",0.13818827,No,50.0,No
225,"car_220",0.111321926,No,50.0,Yes
226,"car_221",0.4303976,No,50.0,No
227,"car_222",0.08606434,No,50.0,No
228,"car_223",0.19224104,No,50.0,No
229,"car_224",0.050161123,No,50.0,No
230,"car_225",0.065812975,No,50.0,No
231,"car_226",0.04867968,No,50.0,No
232,"car_227",0.012753189,No,50.0,No
233,"car_228",0.22419158,No,50.0,No
234,"car_229",0.00076183677,No,50.0,No
235,"car_230",0.04976648,No,50.0,No
236,"car_231",0.06903979,No,50.0,No
237,"car_232",0.056898236,No,50.0,No
238,"car_233",0.024828017,No,50.0,No
239,"car_234",0.033602417,No,50.0,No
240,"car_235",0.02248478,No,50.0,Yes
241,"car_236",0.10568747,No,50.0,No
242,"car_237",0.10154548,No,50.0,No
243,"car_238",0.6147783,Yes,50.0,No
244,"car_239",0.27900583,No,50.0,No
245,"car_240",0.10429412,No,50.0,No
246,"car_241",0.06256351,No,50.0,No
247,"car_242",0.8478482,Yes,50.0,No
248,"car_243",0.95977235,Yes,50.0,No
249,"car_244",0.03293076,No,50.0,No
250,"car_245",0.091154635,No,50.0,No
251,"car_246",0.09591693,No,50.0,No
252,"car_247",0.11917561,No,50.0,No
253,"car_248",0.2723534,No,50.0,No
254,"car_249",0.0018395782,No,50.0,No
255,"car_250",0.70819366,Yes,50.0,Yes
256,"car_251",0.059550762,No,50.0,No
257,"car_252",0.02129206,No,50.0,No
258,"car_253",0.017620265,No,50.0,No
259,"car_254",0.08245379,No,50.0,Yes
260,"car_255",0.010733545,No,50.0,No
261,"car_256",0.3841067,No,50.0,No
262,"car_257",0.031205803,No,50.0,Yes
263,"car_258",0.019572407,No,50.0,No
264,"car_259",0.04304281,No,50.0,No
265,"car_260",0.053071946,No,50.0,No
266,"car_261",0.054638118,No,50.0,No
267,"car_262",0.039441764,No,50.0,No
268,"car_263",0.19537798,No,50.0,No
269,"car_264",0.013583839,No,50.0,No
270,"car_265",0.15410113,No,50.0,No
271,"car_266",0.00010800117,No,50.0,Yes
272,"car_267",0.014056444,No,50.0,Yes
273,"car_268",0.01967457,No,50.0,No
274,"car_269",0.07263973,No,50.0,No
275,"car_270",0.66114885,Yes,50.0,No
276,"car_271",0.030034661,No,50.0,No
277,"car_272",0.17759329,No,50.0,No
278,"car_273",0.030486465,No,50.0,No
279,"car_274",0.0003478825,No,50.0,No
280,"car_275",0.043168306,No,50.0,No
281,"car_276",0.14776006,No,50.0,No
282,"car_277",0.028905243,No,50.0,No
283,"car_278",0.14754567,No,50.0,Yes
284,"car_279",0.081169635,No,50.0,No
285,"car_280",0.22139907,No,50.0,No
286,"car_281",0.09304753,No,50.0,No
287,"car_282",0.09404978,No,50.0,No
288,"car_283",0.1920067,No,50.0,No
289,"car_284",0.041395426,No,50.0,No
290,"car_285",0.07764301,No,50.0,No
291,"car_286",0.29710406,No,50.0,No
292,"car_287",0.27463168,No,50.0,No
293,"car_288",0.17625278,No,50.0,No
294,"car_289",0.4685978,No,50.0,Yes
295,"car_290",0.03350407,No,50.0,No
296,"car_291",0.06657326,No,50.0,No
297,"car_292",0.045734584,No,50.0,No
298,"car_293",0.10187608,No,50.0,Yes
299,"car_294",0.15795892,No,50.0,No
300,"car_295",0.76135874,Yes,50.0,No
301,"car_296",0.01537165,No,50.0,No
302,"car_297",0.17577612,No,50.0,Yes
303,"car_298",0.0011371672,No,50.0,Yes
304,"car_299",0.00059747696,No,50.0,No
305,"car_300",0.29931414,No,50.0,Yes
306,"car_301",0.013551086,No,50.0,No
307,"car_302",0.009093583,No,50.0,Yes
308,"car_303",0.039836854,No,50.0,Yes
309,"car_304",0.032207936,No,50.0,No
310,"car_305",0.12791535,No,50.0,No
311,"car_306",0.06270087,No,50.0,No
312,"car_307",0.03888789,No,50.0,No
313,"car_308",0.09783167,No,50.0,No
314,"car_309",0.086493134,No,50.0,No
315,"car_310",0.09713805,No,50.0,No
316,"car_311",0.4671645,No,50.0,Yes
317,"car_312",0.60667694,Yes,50.0,Yes
318,"car_313",0.109805346,No,50.0,Yes
319,"car_314",0.14855942,No,50.0,No
320,"car_315",0.47764954,No,50.0,Yes
321,"car_316",0.16193172,No,50.0,No
322,"car_317",0.3966125,No,50.0,No
323,"car_318",0.055754036,No,50.0,No
324,"car_319",0.9611094,Yes,50.0,No
325,"car_320",0.5844036,Yes,50.0,No
326,"car_321",0.018320352,No,50.0,No
327,"car_322",0.0028330088,No,50.0,No
328,"car_323",0.05771473,No,50.0,No
329,"car_324",0.034410715,No,50.0,No
330,"car_325",0.06558269,No,50.0,No
331,"car_326",0.020710945,No,50.0,No
332,"car_327",0.06636363,No,50.0,No
333,"car_328",0.16614208,No,50.0,No
334,"car_329",0.014018923,No,50.0,No
335,"car_330",0.22311112,No,50.0,No
336,"car_331",0.24358827,No,50.0,No
337,"car_332",0.41561466,No,50.0,No
338,"car_333",0.36830544,No,50.0,No
339,"car_334",0.0057875216,No,50.0,No
340,"car_335",0.055322498,No,50.0,No
341,"car_336",0.13035515,No,50.0,No
342,"car_337",0.32979712,No,50.0,No
343,"car_338",0.05750689,No,50.0,No
344,"car_339",0.052462816,No,50.0,No
345,"car_340",0.021036923,No,50.0,No
346,"car_341",0.060103595,No,50.0,No
347,"car_342",0.06436166,No,50.0,No
348,"car_343_1_49",0.005562395,No,50.0,No
349,"car_343_26_54",0.0012976229,No,50.0,No
350,"car_343_51_54",0.028464705,No,50.0,No
351,"car_344",0.033746243,No,50.0,No
352,"car_345",0.04483691,No,50.0,No
353,"car_346",0.10545316,No,50.0,No
354,"car_347",0.012179345,No,50.0,No
355,"car_348",0.104691416,No,50.0,No
356,"car_349",0.062211424,No,50.0,No
357,"car_350",0.073462486,No,50.0,No
358,"car_351",0.042071998,No,50.0,No
359,"car_352",0.22016665,No,50.0,No
360,"car_353",0.023152143,No,50.0,No
361,"car_354",0.08109751,No,50.0,No
362,"car_355",0.13215691,No,50.0,No
363,"car_356",0.027695417,No,50.0,No
364,"car_357",0.06782058,No,50.0,No
365,"car_358",0.13325697,No,50.0,No
366,"car_359",0.25153157,No,50.0,No
367,"car_360",0.2269971,No,50.0,No
368,"car_361",0.9424553,Yes,50.0,No
369,"car_362",0.02342984,No,50.0,No
370,"car_363",0.02239418,No,50.0,No
371,"car_364",0.37774354,No,50.0,No
372,"car_365",0.17088294,No,50.0,No
373,"car_366",0.047011077,No,50.0,No
374,"car_367",0.11933419,No,50.0,No
375,"car_368",0.0005748868,No,50.0,No
376,"car_369",0.061363786,No,50.0,No
377,"car_370",0.62297523,Yes,50.0,No
378,"car_371",0.060456306,No,50.0,No
379,"car_372",0.10985935,No,50.0,No
380,"car_373",0.06225425,No,50.0,No
381,"car_374",0.06717968,No,50.0,No
382,"car_375",0.29203385,No,50.0,Yes
383,"car_376",0.046812326,No,50.0,No
384,"car_377",0.018842697,No,50.0,No
385,"car_378",0.025789738,No,50.0,Yes
386,"car_379",0.26458293,No,50.0,No
387,"car_380",0.025843084,No,50.0,No
388,"car_381",0.9812349,Yes,50.0,No
389,"car_382",0.56082785,Yes,50.0,No
390,"car_383",0.3023787,No,50.0,No
391,"car_384",0.2131804,No,50.0,No
392,"car_385",0.12097445,No,50.0,No
393,"car_386",0.07078326,No,50.0,No
394,"car_387",0.006951034,No,50.0,No
395,"car_388",0.070304275,No,50.0,No
396,"car_389",0.057441413,No,50.0,No
397,"car_390",0.23752603,No,50.0,No
398,"car_391",0.059336066,No,50.0,No
399,"car_392",0.098644465,No,50.0,No
400,"car_393",0.013609201,No,50.0,No
401,"car_394",0.018494576,No,50.0,No
402,"car_395",0.15885925,No,50.0,No
403,"car_396",0.0014395416,No,50.0,Yes
404,"car_397",0.049297035,No,50.0,No
405,"car_398",0.031008959,No,50.0,No
406,"car_399",0.030493349,No,50.0,No
407,"car_400",0.2712252,No,50.0,Yes
